order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,extract_time_x,source_x,late_delivery,latency_days,weekend,item_id,product_id,quantity,list_price_x,discount,extract_time_y,source_y,EGP,list_price_egp,product_name,brand_id,category_id,model_year,list_price_y,extract_time,source
1,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,2024-04-28 18:44:54.651800,postgres,False,,True,1,20,1,599.99,0.2,2024-04-28 18:44:47.242831,postgres,47.861515,28716.43038485,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,2024-04-28 19:24:05.466871,datalake
2,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6,2024-04-28 18:44:54.651800,postgres,False,,True,1,20,1,599.99,0.07,2024-04-28 18:44:47.242831,postgres,47.861515,28716.43038485,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,2024-04-28 19:24:05.466871,datalake
3,523,4,2016-01-02,2016-01-05,2016-01-03,2,7,2024-04-28 18:44:54.651800,postgres,False,,True,2,20,1,599.99,0.05,2024-04-28 18:44:47.242831,postgres,47.861515,28716.43038485,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,2024-04-28 19:24:05.466871,datalake
13,873,4,2016-01-08,2016-01-11,2016-01-11,2,6,2024-04-28 18:44:54.651800,postgres,False,,True,3,20,2,599.99,0.1,2024-04-28 18:44:47.242831,postgres,47.861515,28716.43038485,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,2024-04-28 19:24:05.466871,datalake
17,1175,4,2016-01-12,2016-01-14,2016-01-14,1,3,2024-04-28 18:44:54.651800,postgres,False,,False,4,20,2,599.99,0.2,2024-04-28 18:44:47.242831,postgres,47.861515,28716.43038485,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,2024-04-28 19:24:05.466871,datalake
35,813,4,2016-01-22,2016-01-25,2016-01-24,2,7,2024-04-28 18:44:54.651800,postgres,False,,True,2,20,2,599.99,0.05,2024-04-28 18:44:47.242831,postgres,47.861515,28716.43038485,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,2024-04-28 19:24:05.466871,datalake
51,1047,4,2016-02-01,2016-02-02,2016-02-03,2,7,2024-04-28 18:44:54.651800,postgres,True,1.0,False,2,20,1,599.99,0.05,2024-04-28 18:44:47.242831,postgres,47.861515,28716.43038485,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,2024-04-28 19:24:05.466871,datalake
56,1241,4,2016-02-04,2016-02-06,2016-02-07,2,6,2024-04-28 18:44:54.651800,postgres,True,1.0,True,1,20,2,599.99,0.07,2024-04-28 18:44:47.242831,postgres,47.861515,28716.43038485,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,2024-04-28 19:24:05.466871,datalake
70,50,3,2016-02-11,2016-02-11,,3,9,2024-04-28 18:44:54.651800,postgres,False,,False,3,20,1,599.99,0.05,2024-04-28 18:44:47.242831,postgres,47.861515,28716.43038485,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,2024-04-28 19:24:05.466871,datalake
77,385,4,2016-02-16,2016-02-19,2016-02-19,1,2,2024-04-28 18:44:54.651800,postgres,False,,False,1,20,1,599.99,0.07,2024-04-28 18:44:47.242831,postgres,47.861515,28716.43038485,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,2024-04-28 19:24:05.466871,datalake
83,393,4,2016-02-19,2016-02-20,2016-02-20,1,3,2024-04-28 18:44:54.651800,postgres,False,,False,1,20,1,599.99,0.2,2024-04-28 18:44:47.242831,postgres,47.861515,28716.43038485,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,2024-04-28 19:24:05.466871,datalake
87,516,4,2016-02-21,2016-02-22,2016-02-23,2,6,2024-04-28 18:44:54.651800,postgres,True,1.0,False,1,20,2,599.99,0.2,2024-04-28 18:44:47.242831,postgres,47.861515,28716.43038485,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,2024-04-28 19:24:05.466871,datalake
95,218,4,2016-02-27,2016-02-29,2016-02-28,2,7,2024-04-28 18:44:54.651800,postgres,False,,True,4,20,2,599.99,0.05,2024-04-28 18:44:47.242831,postgres,47.861515,28716.43038485,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,2024-04-28 19:24:05.466871,datalake
